,Reporter country,Partner country,FLOW,Value,PeopleTrust,FamilyTrust,NeighborTrust,PersonalTrust,OtherCountryTrust,GDP,Country Trade Percent of GDP,English Rate,Bilateral Trust,Net FDI,Net FDI % GDP,Portfolio equity,PartnerGDP,Distance,Capital City,Law Origins,Rel_sim
0,Austria,Belgium,EXP,2282441447,,,,,,436343622435.169,0.00523083489627288,0.64,0.642619796021,15046,3.5,2167,5.33382785676e+11,569.0,Brussels,0.0,0.42267
1,Austria,Belgium,EXP,2282441447,,,,,,436343622435.169,0.00523083489627288,0.64,0.642619796021,15046,3.5,2167,5.33382785676e+11,569.0,Brussels,0.0,0.42267
2,Austria,Czech Republic,EXP,5628067043,,,,,,436343622435.169,0.01289824522148529,0.64,0.126047713144,15046,3.5,2167,2.05522871251e+11,156.0,Prague,1.0,0.257282
3,Austria,Czech Republic,EXP,5628067043,,,,,,436343622435.169,0.01289824522148529,0.64,0.126047713144,15046,3.5,2167,2.05522871251e+11,156.0,Prague,1.0,0.257282
4,Austria,Denmark,EXP,870731791,,,,,,436343622435.169,0.001995518546004122,0.64,0.643822793768,15046,3.5,2167,3.4195160773e+11,541.0,Copenhagen,0.0,0.0344
5,Austria,Denmark,EXP,870731791,,,,,,436343622435.169,0.001995518546004122,0.64,0.643822793768,15046,3.5,2167,3.4195160773e+11,541.0,Copenhagen,0.0,0.0344
6,Austria,Finland,EXP,646353031,,,,,,436343622435.169,0.0014812936359486582,0.64,0.638347512858,15046,3.5,2167,2.70673584162e+11,896.0,Helsinki,0.0,0.0668599182004
7,Austria,Finland,EXP,646353031,,,,,,436343622435.169,0.0014812936359486582,0.64,0.638347512858,15046,3.5,2167,2.70673584162e+11,896.0,Helsinki,0.0,0.0668599182004
8,Austria,France,EXP,7734494345,,,,,,436343622435.169,0.017725695867479248,0.64,0.456919484429,15046,3.5,2167,2.82919203917e+12,643.0,Paris,0.0,0.372212550607
9,Austria,France,EXP,7734494345,,,,,,436343622435.169,0.017725695867479248,0.64,0.456919484429,15046,3.5,2167,2.82919203917e+12,643.0,Paris,0.0,0.372212550607
10,Austria,Germany,EXP,50063234433,,,,,,436343622435.169,0.11473350785696035,0.64,0.725641157831,15046,3.5,2167,3.85255616966e+12,326.0,Berlin,1.0,0.239273972603
11,Austria,Germany,EXP,50063234433,,,,,,436343622435.169,0.11473350785696035,0.64,0.725641157831,15046,3.5,2167,3.85255616966e+12,326.0,Berlin,1.0,0.239273972603
12,Austria,Greece,EXP,512558414,,,,,,436343622435.169,0.0011746669084779732,0.64,0.397548098303,15046,3.5,2167,2.37592274371e+11,798.0,Athens,1.0,0.00666
13,Austria,Greece,EXP,512558414,,,,,,436343622435.169,0.0011746669084779732,0.64,0.397548098303,15046,3.5,2167,2.37592274371e+11,798.0,Athens,1.0,0.00666
14,Austria,Hungary,EXP,5306731149,,,,,,436343622435.169,0.01216181668792114,0.64,0.280199360324,15046,3.5,2167,1.37103927313e+11,133.0,Budapest,0.0,0.377776274714
15,Austria,Hungary,EXP,5306731149,,,,,,436343622435.169,0.01216181668792114,0.64,0.280199360324,15046,3.5,2167,1.37103927313e+11,133.0,Budapest,0.0,0.377776274714
16,Austria,Ireland,EXP,1540844755,,,,,,436343622435.169,0.00353126452588163,0.64,0.415675926452,15046,3.5,2167,2.45920712756e+11,1047.0,Dublin,0.0,0.548195
17,Austria,Ireland,EXP,1540844755,,,,,,436343622435.169,0.00353126452588163,0.64,0.415675926452,15046,3.5,2167,2.45920712756e+11,1047.0,Dublin,0.0,0.548195
18,Austria,Italy,EXP,10702229400,,,,,,436343622435.169,0.024527067315141322,0.64,0.346860140574,15046,3.5,2167,2.14433818506e+12,475.0,Rome,0.0,0.56440652819
19,Austria,Italy,EXP,10702229400,,,,,,436343622435.169,0.024527067315141322,0.64,0.346860140574,15046,3.5,2167,2.14433818506e+12,475.0,Rome,0.0,0.56440652819
20,Austria,Luxembourg,EXP,248762797,,,,,,436343622435.169,0.0005701075579188983,0.64,0.711287997586,15046,3.5,2167,60130847623.6,475.0,Luxembourg,0.0,0.478788
21,Austria,Luxembourg,EXP,248762797,,,,,,436343622435.169,0.0005701075579188983,0.64,0.711287997586,15046,3.5,2167,60130847623.6,475.0,Luxembourg,0.0,0.478788
22,Austria,Netherlands,EXP,2634807361,,,,,,436343622435.169,0.0060383771539859596,0.64,0.64481180696,15046,3.5,2167,8.6950812548e+11,582.0,Amsterdam,0.0,0.280686403509
23,Austria,Netherlands,EXP,2634807361,,,,,,436343622435.169,0.0060383771539859596,0.64,0.64481180696,15046,3.5,2167,8.6950812548e+11,582.0,Amsterdam,0.0,0.280686403509
24,Austria,Poland,EXP,4966893229,,,,,,436343622435.169,0.011382985733309234,0.64,0.140184414638,15046,3.5,2167,5.48003360279e+11,346.0,Warsaw,1.0,0.586480441324
25,Austria,Poland,EXP,4966893229,,,,,,436343622435.169,0.011382985733309234,0.64,0.140184414638,15046,3.5,2167,5.48003360279e+11,346.0,Warsaw,1.0,0.586480441324
26,Austria,Portugal,EXP,369767803,,,,,,436343622435.169,0.0008474234158308096,0.64,0.384135560525,15046,3.5,2167,2.2958371149e+11,1430.0,Lisbon,1.0,0.51396
27,Austria,Portugal,EXP,369767803,,,,,,436343622435.169,0.0008474234158308096,0.64,0.384135560525,15046,3.5,2167,2.2958371149e+11,1430.0,Lisbon,1.0,0.51396
28,Austria,Spain,EXP,2585869251,,,,,,436343622435.169,0.005926222174552816,0.64,0.434076563861,15046,3.5,2167,1.40430653606e+12,1126.0,Madrid,0.0,0.537640743872
29,Austria,Spain,EXP,2585869251,,,,,,436343622435.169,0.005926222174552816,0.64,0.434076563861,15046,3.5,2167,1.40430653606e+12,1126.0,Madrid,0.0,0.537640743872
30,Austria,Sweden,EXP,1903547492,,,,,,436343622435.169,0.004362496422834334,0.64,0.701878887738,15046,3.5,2167,5.7059126616e+11,772.0,Stockholm,0.0,0.0974442127216
31,Austria,Sweden,EXP,1903547492,,,,,,436343622435.169,0.004362496422834334,0.64,0.701878887738,15046,3.5,2167,5.7059126616e+11,772.0,Stockholm,0.0,0.0974442127216
32,Austria,United Kingdom,EXP,4757562400,,,,,,436343622435.169,0.010903247246857305,0.64,0.437614588711,15046,3.5,2167,2.94188553746e+12,769.0,London,0.0,0.208814299901
33,Austria,United Kingdom,EXP,4757562400,,,,,,436343622435.169,0.010903247246857305,0.64,0.437614588711,15046,3.5,2167,2.94188553746e+12,769.0,London,0.0,0.208814299901
34,Austria,Estonia,EXP,154416951,,,,,,436343622435.169,0.0003538884105563911,0.64,,15046,3.5,2167,25904874312.3,847.0,Tallinn,0.0,0.126748
35,Austria,Estonia,EXP,154416951,,,,,,436343622435.169,0.0003538884105563911,0.64,,15046,3.5,2167,25904874312.3,847.0,Tallinn,0.0,0.126748
36,Austria,Slovenia,EXP,3099495675,,,,,,436343622435.169,0.007103336718208861,0.64,,15046,3.5,2167,49416055609.2,173.0,Ljubljana,1.0,0.472267522211
37,Austria,Slovenia,EXP,3099495675,,,,,,436343622435.169,0.007103336718208861,0.64,,15046,3.5,2167,49416055609.2,173.0,Ljubljana,1.0,0.472267522211
38,Belgium,Austria,EXP,4529980615,,,,,,533382785676.06396,0.00849292616232119,0.71,0.578106359122,-48286,-9.2,7672,4.36343622435e+11,569.0,Vienna,0.0,0.42267
39,Belgium,Austria,EXP,4529980615,,,,,,533382785676.06396,0.00849292616232119,0.71,0.578106359122,-48286,-9.2,7672,4.36343622435e+11,569.0,Vienna,0.0,0.42267
